Entry,Entry name,Status,Protein names,Gene names,Organism,Length
M0R252,M0R252_HUMAN,unreviewed,mRNA decay activator protein ZFP36,ZFP36,Homo sapiens (Human),71
P26651,TTP_HUMAN,reviewed,mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36),ZFP36 G0S24 NUP475 RNF162A TIS11A TTP,Homo sapiens (Human),326
B5MCE7,B5MCE7_HUMAN,unreviewed,"Basic leucine zipper and W2 domain-containing protein 2 (Basic leucine zipper and W2 domains 2, isoform CRA_b)",BZW2 hCG_19293,Homo sapiens (Human),225
B5MCH7,B5MCH7_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2,BZW2,Homo sapiens (Human),343
C9JF98,C9JF98_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2 (Fragment),BZW2,Homo sapiens (Human),162
E7EMS9,E7EMS9_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2 (Fragment),BZW2,Homo sapiens (Human),208
E7ETZ4,E7ETZ4_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2 (Fragment),BZW2,Homo sapiens (Human),408
E9PFD4,E9PFD4_HUMAN,unreviewed,BZW2 protein (Basic leucine zipper and W2 domain-containing protein 2),BZW2,Homo sapiens (Human),189
E9PFE3,E9PFE3_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2,BZW2,Homo sapiens (Human),161
F8WDX8,F8WDX8_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2,BZW2,Homo sapiens (Human),170
Q75MG1,Q75MG1_HUMAN,unreviewed,Basic leucine zipper and W2 domain-containing protein 2 (Fragment),BZW2,Homo sapiens (Human),274
Q9Y6E2,BZW2_HUMAN,reviewed,Basic leucine zipper and W2 domain-containing protein 2,BZW2 HSPC028 MSTP017,Homo sapiens (Human),419
E5RG70,E5RG70_HUMAN,unreviewed,Integrator complex subunit 9 (Fragment),INTS9,Homo sapiens (Human),300
E5RGY2,E5RGY2_HUMAN,unreviewed,Integrator complex subunit 9,INTS9,Homo sapiens (Human),38
E5RJ88,E5RJ88_HUMAN,unreviewed,Integrator complex subunit 9 (Fragment),INTS9,Homo sapiens (Human),87
E5RK47,E5RK47_HUMAN,unreviewed,Integrator complex subunit 9,INTS9,Homo sapiens (Human),170
G3XAN1,G3XAN1_HUMAN,unreviewed,"Integrator complex subunit 9 (Integrator complex subunit 9, isoform CRA_a)",INTS9 RC74 hCG_16729,Homo sapiens (Human),525
H0YBH8,H0YBH8_HUMAN,unreviewed,Integrator complex subunit 9 (Fragment),INTS9,Homo sapiens (Human),223
H0YBK3,H0YBK3_HUMAN,unreviewed,Integrator complex subunit 9 (Fragment),INTS9,Homo sapiens (Human),150
H0YBQ3,H0YBQ3_HUMAN,unreviewed,Integrator complex subunit 9 (Fragment),INTS9,Homo sapiens (Human),25
Q9NV88,INT9_HUMAN,reviewed,Integrator complex subunit 9 (Int9) (Protein related to CPSF subunits of 74 kDa) (RC-74),INTS9 RC74,Homo sapiens (Human),658
E9PLA9,E9PLA9_HUMAN,unreviewed,Caprin-1 (Fragment),CAPRIN1,Homo sapiens (Human),186
G3V153,G3V153_HUMAN,unreviewed,"Caprin-1 (GPI-anchored membrane protein 1, isoform CRA_d)",CAPRIN1 GPIAP1 hCG_27570,Homo sapiens (Human),628
Q14444,CAPR1_HUMAN,reviewed,Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105),CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105,Homo sapiens (Human),709
H3BPY3,H3BPY3_HUMAN,unreviewed,"Probable glutamate--tRNA ligase, mitochondrial",EARS2,Homo sapiens (Human),54
H3BQI0,H3BQI0_HUMAN,unreviewed,"Probable glutamate--tRNA ligase, mitochondrial",EARS2,Homo sapiens (Human),99
H3BQP8,H3BQP8_HUMAN,unreviewed,"Probable glutamate--tRNA ligase, mitochondrial",EARS2,Homo sapiens (Human),79
H3BTB7,H3BTB7_HUMAN,unreviewed,"Probable glutamate--tRNA ligase, mitochondrial",EARS2,Homo sapiens (Human),506
I3L166,I3L166_HUMAN,unreviewed,"Probable glutamate--tRNA ligase, mitochondrial",EARS2,Homo sapiens (Human),112
Q5JPH6,SYEM_HUMAN,reviewed,"Probable glutamate--tRNA ligase, mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)",EARS2 KIAA1970,Homo sapiens (Human),523
P34096,RNAS4_HUMAN,reviewed,Ribonuclease 4 (RNase 4) (EC 3.1.27.-),RNASE4 RNS4,Homo sapiens (Human),147
A0A1D5RMP2,A0A1D5RMP2_HUMAN,unreviewed,"Translation initiation factor IF-2, mitochondrial (Fragment)",MTIF2,Homo sapiens (Human),10
A0A1Y8EJN7,A0A1Y8EJN7_HUMAN,unreviewed,"Translation initiation factor IF-2, mitochondrial (Fragment)",MTIF2,Homo sapiens (Human),7
B5MCU1,B5MCU1_HUMAN,unreviewed,"Translation initiation factor IF-2, mitochondrial (Fragment)",MTIF2,Homo sapiens (Human),70
C9JIY5,C9JIY5_HUMAN,unreviewed,"Translation initiation factor IF-2, mitochondrial (Fragment)",MTIF2,Homo sapiens (Human),26
E7EW07,E7EW07_HUMAN,unreviewed,"Translation initiation factor IF-2, mitochondrial (Fragment)",MTIF2,Homo sapiens (Human),72
H7C213,H7C213_HUMAN,unreviewed,"Translation initiation factor IF-2, mitochondrial (Fragment)",MTIF2,Homo sapiens (Human),301
P46199,IF2M_HUMAN,reviewed,"Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))",MTIF2,Homo sapiens (Human),727
D3YTB1,D3YTB1_HUMAN,unreviewed,60S ribosomal protein L32 (Fragment),RPL32,Homo sapiens (Human),133
D3YTI8,D3YTI8_HUMAN,unreviewed,60S ribosomal protein L32 (Fragment),RPL32,Homo sapiens (Human),62
F8W727,F8W727_HUMAN,unreviewed,60S ribosomal protein L32,RPL32,Homo sapiens (Human),153
P62910,RL32_HUMAN,reviewed,60S ribosomal protein L32 (Large ribosomal subunit protein eL32),RPL32 PP9932,Homo sapiens (Human),135
A0A087WU28,A0A087WU28_HUMAN,unreviewed,"39S ribosomal protein L51, mitochondrial (Fragment)",MRPL51,Homo sapiens (Human),73
A0A0B4J2C1,A0A0B4J2C1_HUMAN,unreviewed,"39S ribosomal protein L51, mitochondrial",MRPL51,Homo sapiens (Human),76
M0R176,M0R176_HUMAN,unreviewed,"39S ribosomal protein L51, mitochondrial",MRPL51,Homo sapiens (Human),32
Q4U2R6,RM51_HUMAN,reviewed,"39S ribosomal protein L51, mitochondrial (L51mt) (MRP-L51) (Mitochondrial large ribosomal subunit protein mL51) (bMRP-64) (bMRP64)",MRPL51 MRP64 CDA09 HSPC241,Homo sapiens (Human),128
B3KQH5,B3KQH5_HUMAN,unreviewed,"Integrator complex subunit 6 (Integrator complex subunit 6, isoform CRA_b) (cDNA FLJ39377 fis, clone PERIC2000180, highly similar to Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26 (DDX26), mRNA) (cDNA FLJ45485 fis, clone BRTHA2002661, highly similar to Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26 (DDX26), mRNA) (cDNA FLJ90465 fis, clone NT2RP3002286, highly similar to Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26 (DDX26), mRNA)",INTS6 hCG_29123,Homo sapiens (Human),709
C9J885,C9J885_HUMAN,unreviewed,Integrator complex subunit 6 (Fragment),INTS6,Homo sapiens (Human),126
C9JAV7,C9JAV7_HUMAN,unreviewed,Integrator complex subunit 6 (Fragment),INTS6,Homo sapiens (Human),154
C9JVX2,C9JVX2_HUMAN,unreviewed,Integrator complex subunit 6 (Fragment),INTS6,Homo sapiens (Human),131
C9JXP6,C9JXP6_HUMAN,unreviewed,Integrator complex subunit 6 (Fragment),INTS6,Homo sapiens (Human),89
C9K0V7,C9K0V7_HUMAN,unreviewed,Integrator complex subunit 6 (Fragment),INTS6,Homo sapiens (Human),130
F8WAV7,F8WAV7_HUMAN,unreviewed,Integrator complex subunit 6,INTS6,Homo sapiens (Human),151
G5E9X1,G5E9X1_HUMAN,unreviewed,"Integrator complex subunit 6 (Integrator complex subunit 6, isoform CRA_c)",INTS6 hCG_29123,Homo sapiens (Human),571
Q9UL03,INT6_HUMAN,reviewed,Integrator complex subunit 6 (Int6) (DBI-1) (Protein DDX26) (Protein deleted in cancer 1) (DICE1),INTS6 DBI1 DDX26 DDX26A,Homo sapiens (Human),887
D6RCM2,D6RCM2_HUMAN,unreviewed,"28S ribosomal protein S18c, mitochondrial (Mitochondrial ribosomal protein S18C, isoform CRA_c)",MRPS18C hCG_2027585,Homo sapiens (Human),114
D6RE70,D6RE70_HUMAN,unreviewed,"28S ribosomal protein S18c, mitochondrial",MRPS18C,Homo sapiens (Human),68
H0Y9W2,H0Y9W2_HUMAN,unreviewed,"28S ribosomal protein S18c, mitochondrial (Fragment)",MRPS18C,Homo sapiens (Human),92
H0YAG5,H0YAG5_HUMAN,unreviewed,"28S ribosomal protein S18c, mitochondrial (Fragment)",MRPS18C,Homo sapiens (Human),113
Q9Y3D5,RT18C_HUMAN,reviewed,"28S ribosomal protein S18c, mitochondrial (MRP-S18-c) (Mrps18-c) (S18mt-c) (28S ribosomal protein S18-1, mitochondrial) (MRP-S18-1) (Mitochondrial small ribosomal subunit protein bS18c) (Mitochondrial small ribosomal subunit protein bS18m)",MRPS18C CGI-134,Homo sapiens (Human),142
J3KRY4,J3KRY4_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3 (Fragment),FTSJ3,Homo sapiens (Human),29
J3KS36,J3KS36_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3 (Fragment),FTSJ3,Homo sapiens (Human),151
J3KS74,J3KS74_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3,FTSJ3,Homo sapiens (Human),67
J3QKT6,J3QKT6_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3 (Fragment),FTSJ3,Homo sapiens (Human),19
J3QR05,J3QR05_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3,FTSJ3,Homo sapiens (Human),40
J3QRS5,J3QRS5_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3 (Fragment),FTSJ3,Homo sapiens (Human),33
J3QSE2,J3QSE2_HUMAN,unreviewed,pre-rRNA-processing protein FTSJ3 (Fragment),FTSJ3,Homo sapiens (Human),115
Q8IY81,SPB1_HUMAN,reviewed,pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3),FTSJ3 SB92,Homo sapiens (Human),847
A0A087WTJ3,A0A087WTJ3_HUMAN,unreviewed,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A,Homo sapiens (Human),297
A0A087WVW3,A0A087WVW3_HUMAN,unreviewed,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A,Homo sapiens (Human),267
D6RBF3,D6RBF3_HUMAN,unreviewed,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A,Homo sapiens (Human),99
Q9UBK2,PRGC1_HUMAN,reviewed,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6),PPARGC1A LEM6 PGC1 PGC1A PPARGC1,Homo sapiens (Human),798
H0YH15,H0YH15_HUMAN,unreviewed,"Aquarius homolog (Mouse), isoform CRA_a (RNA helicase aquarius)",AQR hCG_38784,Homo sapiens (Human),646
H0YLN9,H0YLN9_HUMAN,unreviewed,RNA helicase aquarius (Fragment),AQR,Homo sapiens (Human),180
O60306,AQR_HUMAN,reviewed,RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160),AQR KIAA0560,Homo sapiens (Human),1485
D6RB62,D6RB62_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DDX60-like (Fragment),DDX60L,Homo sapiens (Human),98
D6RBA2,D6RBA2_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DDX60-like (Fragment),DDX60L,Homo sapiens (Human),124
D6RIU1,D6RIU1_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DDX60-like (Fragment),DDX60L,Homo sapiens (Human),77
H0Y8H0,H0Y8H0_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DDX60-like (Fragment),DDX60L,Homo sapiens (Human),868
H0Y939,H0Y939_HUMAN,unreviewed,Probable ATP-dependent RNA helicase DDX60-like (Fragment),DDX60L,Homo sapiens (Human),195
Q5H9U9,DDX6L_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX60-like (EC 3.6.4.13) (DEAD box protein 60-like),DDX60L,Homo sapiens (Human),1706
Q32P51,RA1L2_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2),HNRNPA1L2 HNRNPA1L,Homo sapiens (Human),320
Q86W42,THOC6_HUMAN,reviewed,THO complex subunit 6 homolog (Functional spliceosome-associated protein 35) (fSAP35) (WD repeat-containing protein 58),THOC6 WDR58 PSEC0006,Homo sapiens (Human),341
K7ELP6,K7ELP6_HUMAN,unreviewed,Nuclear cap-binding protein subunit 3 (Fragment),NCBP3,Homo sapiens (Human),80
K7EQA5,K7EQA5_HUMAN,unreviewed,Nuclear cap-binding protein subunit 3 (Fragment),NCBP3,Homo sapiens (Human),36
Q53F19,NCBP3_HUMAN,reviewed,Nuclear cap-binding protein subunit 3 (Protein ELG),NCBP3 C17orf85,Homo sapiens (Human),620
D6R9K7,D6R9K7_HUMAN,unreviewed,RNA-binding protein 4,RBM4,Homo sapiens (Human),150
E9PB51,E9PB51_HUMAN,unreviewed,RNA-binding protein 4 (Fragment),RBM4,Homo sapiens (Human),240
J3QRR5,J3QRR5_HUMAN,unreviewed,RNA-binding protein 4,RBM4,Homo sapiens (Human),155
Q9BWF3,RBM4_HUMAN,reviewed,RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a),RBM4 RBM4A,Homo sapiens (Human),364
D6RBD7,D6RBD7_HUMAN,unreviewed,"Eukaryotic translation elongation factor 1 epsilon-1 (HCG15559, isoform CRA_d)",EEF1E1 hCG_15559,Homo sapiens (Human),150
D6RCQ0,D6RCQ0_HUMAN,unreviewed,Eukaryotic translation elongation factor 1 epsilon-1 (Fragment),EEF1E1,Homo sapiens (Human),94
H0YAH9,H0YAH9_HUMAN,unreviewed,Eukaryotic translation elongation factor 1 epsilon-1 (Fragment),EEF1E1,Homo sapiens (Human),56
H0YAL7,H0YAL7_HUMAN,unreviewed,Eukaryotic translation elongation factor 1 epsilon-1 (Fragment),EEF1E1,Homo sapiens (Human),136
O43324,MCA3_HUMAN,reviewed,Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18),EEF1E1 AIMP3 P18,Homo sapiens (Human),174
C9JSD5,C9JSD5_HUMAN,unreviewed,Microprocessor complex subunit DGCR8 (Fragment),DGCR8,Homo sapiens (Human),125
Q8WYQ5,DGCR8_HUMAN,reviewed,Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8),DGCR8 C22orf12 DGCRK6 LP4941,Homo sapiens (Human),773
Q13151,ROA0_HUMAN,reviewed,Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0),HNRNPA0 HNRPA0,Homo sapiens (Human),305
A6NJD9,A6NJD9_HUMAN,unreviewed,"39S ribosomal protein L23, mitochondrial",MRPL23,Homo sapiens (Human),163
A8MVT4,A8MVT4_HUMAN,unreviewed,"39S ribosomal protein L23, mitochondrial",MRPL23,Homo sapiens (Human),166
A8MYK1,A8MYK1_HUMAN,unreviewed,"39S ribosomal protein L23, mitochondrial",MRPL23,Homo sapiens (Human),191
H7C2P7,H7C2P7_HUMAN,unreviewed,"39S ribosomal protein L23, mitochondrial (Fragment)",MRPL23,Homo sapiens (Human),118
Q16540,RM23_HUMAN,reviewed,"39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Mitochondrial large ribosomal subunit protein uL23m) (Ribosomal protein L23-like)",MRPL23 L23MRP RPL23L,Homo sapiens (Human),153
A0A0B4J213,A0A0B4J213_HUMAN,unreviewed,60S ribosomal protein L30,RPL30,Homo sapiens (Human),51
A0A0C4DH44,A0A0C4DH44_HUMAN,unreviewed,60S ribosomal protein L30,RPL30,Homo sapiens (Human),96
E5RI99,E5RI99_HUMAN,unreviewed,60S ribosomal protein L30 (Fragment),RPL30,Homo sapiens (Human),114
E5RJH3,E5RJH3_HUMAN,unreviewed,60S ribosomal protein L30,RPL30,Homo sapiens (Human),56
P62888,RL30_HUMAN,reviewed,60S ribosomal protein L30 (Large ribosomal subunit protein eL30),RPL30,Homo sapiens (Human),115
B7Z7B0,B7Z7B0_HUMAN,unreviewed,"Cleavage and polyadenylation-specificity factor subunit 4 (cDNA FLJ52791, highly similar to Cleavage and polyadenylation specificityfactor 30 kDa subunit)",CPSF4,Homo sapiens (Human),191
C9JEV9,C9JEV9_HUMAN,unreviewed,Cleavage and polyadenylation-specificity factor subunit 4,CPSF4,Homo sapiens (Human),211
C9K0K2,C9K0K2_HUMAN,unreviewed,Cleavage and polyadenylation-specificity factor subunit 4 (Fragment),CPSF4,Homo sapiens (Human),112
F8WEL7,F8WEL7_HUMAN,unreviewed,Cleavage and polyadenylation-specificity factor subunit 4,CPSF4,Homo sapiens (Human),44
H7C016,H7C016_HUMAN,unreviewed,Cleavage and polyadenylation-specificity factor subunit 4 (Fragment),CPSF4,Homo sapiens (Human),229
H7C419,H7C419_HUMAN,unreviewed,Cleavage and polyadenylation-specificity factor subunit 4 (Fragment),CPSF4,Homo sapiens (Human),193
O95639,CPSF4_HUMAN,reviewed,Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog),CPSF4 CPSF30 NAR NEB1,Homo sapiens (Human),269
A0A0A0MT33,A0A0A0MT33_HUMAN,unreviewed,Protein SCAF8,SCAF8,Homo sapiens (Human),1349
Q9UPN6,SCAF8_HUMAN,reviewed,Protein SCAF8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16) (SR-related and CTD-associated factor 8),SCAF8 CCAP7 KIAA1116 RBM16,Homo sapiens (Human),1271
M0QXB0,M0QXB0_HUMAN,unreviewed,U6 snRNA-associated Sm-like protein LSm4,LSM4,Homo sapiens (Human),69
Q9Y4Z0,LSM4_HUMAN,reviewed,U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein) (GRP),LSM4,Homo sapiens (Human),139
U3KQK1,U3KQK1_HUMAN,unreviewed,U6 snRNA-associated Sm-like protein LSm4,LSM4,Homo sapiens (Human),125
U3KQS7,U3KQS7_HUMAN,unreviewed,U6 snRNA-associated Sm-like protein LSm4 (Fragment),LSM4,Homo sapiens (Human),109
V9GZ56,V9GZ56_HUMAN,unreviewed,U6 snRNA-associated Sm-like protein LSm4 (Fragment),LSM4,Homo sapiens (Human),238
A0A087WXF8,A0A087WXF8_HUMAN,unreviewed,Nucleolar protein of 40 kDa,ZCCHC17,Homo sapiens (Human),263
A0A087WXU5,A0A087WXU5_HUMAN,unreviewed,Nucleolar protein of 40 kDa,ZCCHC17,Homo sapiens (Human),146
A0A087WYF0,A0A087WYF0_HUMAN,unreviewed,Nucleolar protein of 40 kDa,ZCCHC17,Homo sapiens (Human),160
A0A087WYV3,A0A087WYV3_HUMAN,unreviewed,Nucleolar protein of 40 kDa,ZCCHC17,Homo sapiens (Human),179
A0A0D9SEW3,A0A0D9SEW3_HUMAN,unreviewed,Nucleolar protein of 40 kDa,ZCCHC17,Homo sapiens (Human),243
Q9NP64,NO40_HUMAN,reviewed,Nucleolar protein of 40 kDa (pNO40) (Pnn-interacting nucleolar protein) (Putative S1 RNA-binding domain protein) (PS1D protein) (Zinc finger CCHC domain-containing protein 17),ZCCHC17 PS1D HSPC243 HSPC251 LDC4,Homo sapiens (Human),241
P62701,RS4X_HUMAN,reviewed,"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)",RPS4X CCG2 RPS4 SCAR,Homo sapiens (Human),263
B5MCS2,B5MCS2_HUMAN,unreviewed,Histone-lysine N-methyltransferase SETD7,SETD7,Homo sapiens (Human),69
B5MCZ8,B5MCZ8_HUMAN,unreviewed,Histone-lysine N-methyltransferase SETD7,SETD7,Homo sapiens (Human),135
D6RJA0,D6RJA0_HUMAN,unreviewed,Histone-lysine N-methyltransferase (EC 2.1.1.43),SETD7,Homo sapiens (Human),362
Q8WTS6,SETD7_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.43) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9),SETD7 KIAA1717 KMT7 SET7 SET9,Homo sapiens (Human),366
V9GY19,V9GY19_HUMAN,unreviewed,Histone-lysine N-methyltransferase SETD7,SETD7,Homo sapiens (Human),46
V9GYG1,V9GYG1_HUMAN,unreviewed,Histone-lysine N-methyltransferase SETD7 (Fragment),SETD7,Homo sapiens (Human),94
P62945,RL41_HUMAN,reviewed,60S ribosomal protein L41 (HG12) (Large ribosomal subunit protein eL41),RPL41,Homo sapiens (Human),25
E9PJD9,E9PJD9_HUMAN,unreviewed,60S ribosomal protein L27a,RPL27A,Homo sapiens (Human),91
E9PKT2,E9PKT2_HUMAN,unreviewed,60S ribosomal protein L27a,RPL27A,Homo sapiens (Human),41
E9PLL6,E9PLL6_HUMAN,unreviewed,60S ribosomal protein L27a,RPL27A,Homo sapiens (Human),108
E9PLX7,E9PLX7_HUMAN,unreviewed,60S ribosomal protein L27a,RPL27A,Homo sapiens (Human),113
H0YF34,H0YF34_HUMAN,unreviewed,60S ribosomal protein L27a (Fragment),RPL27A,Homo sapiens (Human),42
P46776,RL27A_HUMAN,reviewed,60S ribosomal protein L27a (Large ribosomal subunit protein uL15),RPL27A,Homo sapiens (Human),148
A0A0A0MRX1,A0A0A0MRX1_HUMAN,unreviewed,ELAV-like protein,ELAVL2,Homo sapiens (Human),389
B1AM48,B1AM48_HUMAN,unreviewed,ELAV-like protein (Fragment),ELAVL2,Homo sapiens (Human),189
C9JB16,C9JB16_HUMAN,unreviewed,ELAV-like protein 2 (Fragment),ELAVL2,Homo sapiens (Human),90
Q12926,ELAV2_HUMAN,reviewed,ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1),ELAVL2 HUB,Homo sapiens (Human),359
Q5VVK9,Q5VVK9_HUMAN,unreviewed,tRNA:m(4)X modification enzyme TRM13 homolog,TRMT13,Homo sapiens (Human),130
Q5VVL2,Q5VVL2_HUMAN,unreviewed,tRNA:m(4)X modification enzyme TRM13 homolog,TRMT13,Homo sapiens (Human),109
Q9NUP7,TRM13_HUMAN,reviewed,tRNA:m(4)X modification enzyme TRM13 homolog (EC 2.1.1.225) (Coiled-coil domain-containing protein 76),TRMT13 CCDC76,Homo sapiens (Human),481
Q16600,ZN239_HUMAN,reviewed,Zinc finger protein 239 (Zinc finger protein HOK-2) (Zinc finger protein MOK-2),ZNF239 HOK2 MOK2,Homo sapiens (Human),458
A0A0D9SEN0,A0A0D9SEN0_HUMAN,unreviewed,Translation initiation factor eIF-2B subunit gamma,EIF2B3,Homo sapiens (Human),128
H0Y580,H0Y580_HUMAN,unreviewed,Translation initiation factor eIF-2B subunit gamma (Fragment),EIF2B3,Homo sapiens (Human),222
Q9NR50,EI2BG_HUMAN,reviewed,Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma),EIF2B3,Homo sapiens (Human),452
H3BRT3,H3BRT3_HUMAN,unreviewed,Trinucleotide repeat-containing gene 6A protein (Fragment),TNRC6A,Homo sapiens (Human),160
H3BTQ1,H3BTQ1_HUMAN,unreviewed,Trinucleotide repeat-containing gene 6A protein (Fragment),TNRC6A,Homo sapiens (Human),203
H7C269,H7C269_HUMAN,unreviewed,Trinucleotide repeat-containing gene 6A protein (Fragment),TNRC6A,Homo sapiens (Human),906
I3L218,I3L218_HUMAN,unreviewed,Trinucleotide repeat-containing gene 6A protein (Fragment),TNRC6A,Homo sapiens (Human),96
I3L3S5,I3L3S5_HUMAN,unreviewed,Trinucleotide repeat-containing gene 6A protein (Fragment),TNRC6A,Homo sapiens (Human),40
Q8NDV7,TNR6A_HUMAN,reviewed,Trinucleotide repeat-containing gene 6A protein (CAG repeat protein 26) (EMSY interactor protein) (GW182 autoantigen) (Protein GW1) (Glycine-tryptophan protein of 182 kDa),TNRC6A CAGH26 KIAA1460 TNRC6,Homo sapiens (Human),1962
Q5RKV6,EXOS6_HUMAN,reviewed,Exosome complex component MTR3 (Exosome component 6) (mRNA transport regulator 3 homolog) (hMtr3) (p11),EXOSC6 MTR3,Homo sapiens (Human),272
K7EQU4,K7EQU4_HUMAN,unreviewed,Scaffold attachment factor B2 (Fragment),SAFB2,Homo sapiens (Human),87
K7ERX3,K7ERX3_HUMAN,unreviewed,Scaffold attachment factor B2 (Fragment),SAFB2,Homo sapiens (Human),124
Q14151,SAFB2_HUMAN,reviewed,Scaffold attachment factor B2 (SAF-B2),SAFB2 KIAA0138,Homo sapiens (Human),953
A0A0A0MR46,A0A0A0MR46_HUMAN,unreviewed,RNA-binding protein 44,RBM44,Homo sapiens (Human),1052
Q6ZP01,RBM44_HUMAN,reviewed,RNA-binding protein 44 (RNA-binding motif protein 44),RBM44,Homo sapiens (Human),1051
E9PI14,E9PI14_HUMAN,unreviewed,"39S ribosomal protein L16, mitochondrial (Fragment)",MRPL16,Homo sapiens (Human),86
Q9NX20,RM16_HUMAN,reviewed,"39S ribosomal protein L16, mitochondrial (L16mt) (MRP-L16) (Mitochondrial large ribosomal subunit protein uL16m)",MRPL16 PNAS-111,Homo sapiens (Human),251
I3L1Z2,I3L1Z2_HUMAN,unreviewed,Fragile X mental retardation syndrome-related protein 2 (Fragment),FXR2,Homo sapiens (Human),118
P51116,FXR2_HUMAN,reviewed,Fragile X mental retardation syndrome-related protein 2,FXR2 FMR1L2,Homo sapiens (Human),673
A0A087WXY1,A0A087WXY1_HUMAN,unreviewed,"Leucine--tRNA ligase, cytoplasmic",LARS,Homo sapiens (Human),160
Q9P2J5,SYLC_HUMAN,reviewed,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)",LARS KIAA1352,Homo sapiens (Human),1176
A0A0B4J2B4,A0A0B4J2B4_HUMAN,unreviewed,"40S ribosomal protein S15 (Ribosomal protein S15, isoform CRA_a)",RPS15 hCG_21570,Homo sapiens (Human),118
A0A1Y8EIB3,A0A1Y8EIB3_HUMAN,unreviewed,40S ribosomal protein S15 (Fragment),RPS15,Homo sapiens (Human),7
K7EJ78,K7EJ78_HUMAN,unreviewed,40S ribosomal protein S15,RPS15,Homo sapiens (Human),129
K7ELC2,K7ELC2_HUMAN,unreviewed,40S ribosomal protein S15,RPS15,Homo sapiens (Human),152
